Depth,特性_名称,特性_编号,用例_名称,用例_编号,用例_级别,用例_自动化类型,用例_特性,用例_子特性,用例_适用版本,用例_适用产品,用例_适用API,用例_适用处理器架构,用例_工程类型,用例_预置条件,用例_测试步骤,用例_预期结果,用例_备注,用例_执行平台,用例_测试环境类型,用例_自动化工程(测试套),需求单编号,测试结果
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_Rdb_UnregisterCorruptedHandler,KMP_CAPI_Encapsulation_MacArm_Function_031,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块1：RDB模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块1：RDB模块」的验证页面。
3. 查看清单统计部分，函数OH_Rdb_UnregisterCorruptedHandler返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_CreateSubscribeInfo,KMP_CAPI_Encapsulation_MacArm_Function_032,Level 0,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_CreateSubscribeInfo返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetPublisherPermission,KMP_CAPI_Encapsulation_MacArm_Function_033,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetPublisherPermission返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetPublisherBundleName,KMP_CAPI_Encapsulation_MacArm_Function_034,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetPublisherBundleName返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_CreateSubscriber,KMP_CAPI_Encapsulation_MacArm_Function_035,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_CreateSubscriber返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_Subscribe,KMP_CAPI_Encapsulation_MacArm_Function_036,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_Subscribe返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_Publish,KMP_CAPI_Encapsulation_MacArm_Function_037,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_Publish返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetEventFromRcvData,KMP_CAPI_Encapsulation_MacArm_Function_038,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetEventFromRcvData返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetBundleNameFromRcvData,KMP_CAPI_Encapsulation_MacArm_Function_039,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetBundleNameFromRcvData返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetParametersFromRcvData,KMP_CAPI_Encapsulation_MacArm_Function_040,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetParametersFromRcvData返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_HasKeyInParameters,KMP_CAPI_Encapsulation_MacArm_Function_041,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_HasKeyInParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetLongFromParameters,KMP_CAPI_Encapsulation_MacArm_Function_042,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetLongFromParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetDoubleFromParameters,KMP_CAPI_Encapsulation_MacArm_Function_043,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetDoubleFromParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_GetCharFromParameters,KMP_CAPI_Encapsulation_MacArm_Function_044,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_GetCharFromParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_UnSubscribe,KMP_CAPI_Encapsulation_MacArm_Function_045,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_UnSubscribe返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_DestroySubscriber,KMP_CAPI_Encapsulation_MacArm_Function_046,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_DestroySubscriber返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_DestroySubscribeInfo,KMP_CAPI_Encapsulation_MacArm_Function_047,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_DestroySubscribeInfo返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_CreateParameters,KMP_CAPI_Encapsulation_MacArm_Function_048,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_CreateParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetDoubleToParameters,KMP_CAPI_Encapsulation_MacArm_Function_049,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetDoubleToParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetLongToParameters,KMP_CAPI_Encapsulation_MacArm_Function_050,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetLongToParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetCharToParameters,KMP_CAPI_Encapsulation_MacArm_Function_051,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetCharToParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_CreatePublishInfo,KMP_CAPI_Encapsulation_MacArm_Function_052,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_CreatePublishInfo返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_SetPublishInfoParameters,KMP_CAPI_Encapsulation_MacArm_Function_053,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_SetPublishInfoParameters返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_CommonEvent_PublishWithInfo,KMP_CAPI_Encapsulation_MacArm_Function_054,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，函数OH_CommonEvent_PublishWithInfo返回成功。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm65验证常量COMMON_EVENT_BATTERY_CHANGED,KMP_CAPI_Encapsulation_MacArm_Function_055,Level 1,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块2：OH_CommonEvent公共事件模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块2：OH_CommonEvent公共事件模块」的验证页面。
3. 查看清单统计部分，常量COMMON_EVENT_BATTERY_CHANGED返回一致。",,,,,IR001-SR001,
....,,,Mac(ARM)主机构建ohosArm64验证函数OH_Huks_GetSdkVersion,KMP_CAPI_Encapsulation_MacArm_Function_056,Level 0,FALSE,三方框架-KMP框架-KMP框架,,HOS单框架,,API17;API18;API19;API20;API21;API22,mac arm,default,"1. Mac(ARM)测试环境已搭建。
2. 使用已有的KMP工程（分支：feature/newVersion），https://gitlab.eazytec-cloud.com/eazytec_kmptpc/kmptpc_kotlin_capi_sample。
3. 产物编译：在Android Studio终端中执行命令./gradlew :composeApp:publishDebugBinariesToHarmonyApp，生成鸿蒙Native二进制产物并自动推送至harmonyApp指定目录
4. 鸿蒙设备已连接并可用。","1. 在Deveco打开当前工程下的harmonyapp，点击运行按钮，部署到已连接的设备。
2. 在首页点击「模块3：HuksKeyApi密钥管理模块」。
3. 点击「运行验证」按钮。","1. HAP包成功安装，应用启动正常。
2. 页面跳转成功，正常展示「模块3：HuksKeyApi密钥管理模块」的验证页面。
3. 查看清单统计部分，函数OH_Huks_GetSdkVersion返回成功。",,,,,IR001-SR001,
